"노드 ID","정류소번호","정류소명","X좌표","Y좌표","정류소 타입"
"06026","105000483","용두동사거리.한국의류시험연구원","127.0282789088","37.5771526546","중앙차로"
"06027","105000486","신설동역","127.0250446359","37.5761500409","중앙차로"
"06028","105000485","신설동역","127.0238433051","37.575826798","중앙차로"
"06101","105000018","신설동역3번출구","127.0255836506","37.576453593","가로변시간"
"06102","105000019","신설동역4번출구","127.025947005","37.5762453617","일반차로"
"06103","105000020","용두동한국의류시험연구원","127.029114172","37.5775187657","가로변시간"
"06104","105000021","용두로타리한국의류시험연구원","127.0294820292","37.5772564569","가로변시간"
"06105","105000022","제기역약령시장","127.0366096265","37.5782970238","일반차로"
"06106","105000023","제기역약령시장","127.0368349109","37.5780535417","일반차로"
"06107","105000552","신설동역1번출구","127.0233166791","37.5766303332","일반차로"
"06108","103000518","청계한신휴플러스","127.044109","37.571799","일반차로"
"06112","105000028","청량리미주상가앞","127.0476780218","37.5818902252","가로변전일"
"06113","105000029","서울성심병원","127.0502442553","37.5843923886","일반차로"
"06114","105000030","서울성심병원","127.0508977332","37.5846074691","가로변시간"
"06115","105000031","시조사","127.0522795666","37.5868487759","일반차로"
"06117","105000033","휘경동입구","127.0552071034","37.5876644832","가로변시간"
"06118","105000034","삼육서울병원","127.0606123322","37.5897656487","일반차로"
"06120","105000566","래미안라그란데아파트","127.06193","37.600355","일반차로"
"06121","105000037","중랑교","127.0664306844","37.59114436","일반차로"
"06122","105000038","회기시장","127.0566389299","37.5912026288","일반차로"
"06123","105000039","회기시장","127.0565879609","37.5908060401","일반차로"
"06124","105000040","경희중고","127.0577445104","37.5929228111","일반차로"
"06125","105000041","경희중고","127.0583346646","37.5933472946","일반차로"
"06126","105000042","외대앞","127.0596059335","37.5956282146","일반차로"
"06127","105000043","외대앞","127.0597677578","37.5954812555","일반차로"
"06128","105000044","이문동우체국","127.061338","37.598348","일반차로"
"06129","105000045","이문동교회","127.0621071328","37.6002569171","일반차로"
"06130","105000046","의릉입구","127.061963","37.603888","일반차로"
"06131","105000047","의릉입구","127.0621763625","37.6034852714","일반차로"
"06132","105000048","한천로쌍용아파트앞","127.0676192785","37.5981910949","일반차로"
"06133","105000049","한천로쌍용아파트앞","127.0678869789","37.5986649133","일반차로"
"06134","105000050","이문동삼익아파트","127.0682139128","37.5945485558","일반차로"
"06135","105000051","이문동삼익아파트","127.0683627707","37.5951035399","일반차로"
"06136","105000052","동일스위트리버아파트.휘봉고교","127.0677525508","37.5877987669","일반차로"
"06137","105000053","휘경유수지견인차고지앞","127.068577","37.58842","일반차로"
"06138","105000560","답십리래미안엘파인아파트","127.067330886","37.5756772295","일반차로"
"06139","105000567","래미안엘파인아파트.장안동성당","127.06758","37.575593","일반차로"
"06140","105000054","서울준법지원센터.동성빌라","127.0673893111","37.5855552625","일반차로"
"06141","105000055","서울준법지원센터.동성빌라","127.0676702359","37.5856794521","일반차로"
"06142","105000056","휘경여중고.휘경주공아파트앞","127.0682824634","37.5826030732","일반차로"
"06143","105000057","휘경여중고.휘경주공아파트","127.0685434142","37.5821574897","일반차로"
"06144","105000058","장안동현대아파트앞","127.0685412036","37.5797461738","일반차로"
"06145","105000059","전곡시장앞","127.06779506","37.5772370675","일반차로"
"06146","105000060","전곡시장앞","127.0681419969","37.5773293235","일반차로"
"06147","105000061","촬영소사거리.우성그린아파트","127.0668512705","37.5741908611","일반차로"
"06148","105000062","촬영소사거리.우성그린아파트","127.0669165487","37.5735106563","일반차로"
"06149","105000063","동답초등학교","127.065489039","37.5710397628","일반차로"
"06150","105000064","동답한신.동아아파트","127.0641135329","37.5696220827","일반차로"
"06151","105000065","동답한신.동아아파트","127.0639045358","37.568881615","일반차로"
"06152","105000066","동아.위더스빌아파트","127.0622143149","37.5667402906","일반차로"
"06153","105000067","답십리2동주민센터","127.06181","37.566603","일반차로"
"06154","105000068","하나은행장안동지점","127.0585564607","37.5634035936","일반차로"
"06155","105000069","장한평역4번출구","127.067137684","37.5613115442","일반차로"
"06156","105000070","청년회의소앞","127.0615307058","37.5621102645","일반차로"
"06157","105000071","고미술상가","127.0572974308","37.563609188","일반차로"
"06158","105000072","답십리역.동부시장","127.0525194449","37.5672562517","일반차로"
"06159","105000073","신답역앞","127.0470913509","37.5708430857","일반차로"
"06160","105000074","동대문구청.용두역4번출구","127.0397135905","37.5734350116","일반차로"
"06161","105000075","용두역5번출구","127.037268","37.573977","가로변전일"
"06162","105000076","용두동신동아아파트","127.0317924634","37.5737704369","일반차로"
"06163","105000077","동대문우체국.서울풍물시장","127.0245652731","37.574759758","일반차로"
